kyc_id,customer_id,aadhaar_number,kyc_status
164,241,775862828528,Pending
165,479,090873083508,"Under Review"
166,687,896169036751,Pending
167,19,288864637041,"Under Review"
168,46,288181345677,"Under Review"
169,255,414689778847,Pending
170,868,376254088740,"Under Review"
171,138,403462701092,Pending
172,120,692780494726,Completed
173,415,250807132031,"Under Review"
174,919,059297423023,Completed
175,770,223543430891,"Under Review"
176,227,003791773069,Pending
177,110,613126556498,Completed
178,128,438593181486,"Under Review"
179,815,424584506877,Pending
180,170,742241416429,"Under Review"
181,364,832372914712,"Under Review"
182,888,491913781383,Completed
183,365,481110965500,Completed
184,779,392642954962,Pending
185,301,471787871966,Pending
186,57,315805564483,Completed
187,754,513687756428,"Under Review"
188,715,708672475598,Completed
189,977,097897323058,Pending
190,137,683357256850,"Under Review"
191,751,838286537974,Completed
192,611,202674797000,Pending
193,247,524651990159,Pending
194,134,869896097798,Pending
195,517,867048268193,"Under Review"
196,92,828292963681,Completed
197,83,309825663817,Pending
198,104,228446981964,Pending
199,809,394121300272,Completed
200,42,617355054756,"Under Review"
201,193,589173879624,Completed
202,558,855319884616,Completed
203,823,438982652460,Completed
204,614,576702737934,"Under Review"
205,683,056698752849,Completed
206,826,116399136813,Completed
207,286,757782879419,Completed
208,75,745329003625,Completed
209,103,460179505169,Completed
210,887,839717997560,"Under Review"
211,837,646026530582,"Under Review"
212,488,888914267848,Completed
213,77,670373022951,Pending
214,397,487793830905,"Under Review"
215,35,398303416440,Pending
216,572,142999757896,Pending
217,69,950055816791,Completed
218,162,189875610923,"Under Review"
219,212,110305059353,Pending
220,218,918107639787,Completed
221,928,951893899046,"Under Review"
222,302,175225801599,"Under Review"
223,990,284416990784,Pending
224,294,040199803119,"Under Review"
225,758,171363217829,Completed
226,508,115137280852,Completed
227,68,790601450449,Pending
228,833,175024273365,Pending
229,60,999081292329,Completed
230,428,801958160573,Pending
231,339,512108259168,Completed
232,346,146700392035,"Under Review"
233,200,231738555213,Pending
234,226,850708828946,"Under Review"
235,835,745428627416,Pending
236,282,004691975506,"Under Review"
237,53,901385900074,Completed
238,690,904557244893,Pending
239,206,501334787365,Pending
240,787,469590352695,Pending
241,832,907103177150,Pending
242,583,147743387216,Pending
243,421,536502050429,"Under Review"
244,753,459486336698,"Under Review"
245,570,724447402310,Completed
246,985,385019353711,Pending
247,205,062462626993,"Under Review"
248,522,112471340165,Pending
249,938,235619876452,"Under Review"
250,789,712446957758,Pending
251,76,544952332615,Pending
252,651,748109125144,Completed
253,426,388065237462,"Under Review"
254,164,355336330803,"Under Review"
255,48,759738403435,Pending
256,846,056741157349,Completed
257,215,574074669999,Completed
258,480,369795483613,Pending
259,468,079523468942,"Under Review"
260,699,186459889100,"Under Review"
261,168,040879169717,Completed
262,531,826688555450,"Under Review"
263,351,037531202910,"Under Review"
264,666,450505143620,Pending
265,208,035858134807,Completed
266,870,307484665008,Completed
267,144,103028647212,Completed
268,743,150084441972,Completed
269,318,095471362531,"Under Review"
270,501,155545324708,Pending
271,296,458736285719,Completed
272,337,638486228287,Completed
273,23,315267779994,Completed
274,462,515066475804,Completed
275,416,125702927982,Pending
276,800,243886706046,"Under Review"
277,297,436535165089,"Under Review"
278,257,718053100212,Completed
279,896,094798285127,Completed
280,636,686529667621,"Under Review"
281,289,107071131580,"Under Review"
282,881,935465328838,"Under Review"
283,854,683884358653,Completed
284,791,656285652335,"Under Review"
285,575,881399580150,Completed
286,44,771950875872,Completed
287,942,769594477504,Pending
288,340,630319002056,"Under Review"
289,716,488483157215,"Under Review"
290,158,977048554355,Pending
291,713,984376265777,"Under Review"
292,641,059457147309,"Under Review"
293,956,484016856046,"Under Review"
294,281,424694204053,"Under Review"
295,283,431877506962,Pending
296,335,504635081968,"Under Review"
297,946,946607200865,Pending
298,97,078261078894,Completed
299,344,901068483112,"Under Review"
300,819,982319048089,Pending
301,192,721459857418,"Under Review"
302,605,665132389503,Completed
303,73,966136882817,"Under Review"
304,923,710368692679,Pending
305,657,348521862284,"Under Review"
306,855,237849707796,"Under Review"
307,496,431131166870,Completed
308,124,631967596608,Completed
309,209,661446942311,"Under Review"
310,22,431754726864,Completed
311,620,321986292454,Completed
312,778,328616858207,Pending
313,798,631619756869,"Under Review"
314,464,756783501621,Pending
315,72,695888533705,Pending
316,697,112899913691,Pending
317,210,359749416824,Pending
318,521,158216665580,Pending
319,386,415883973876,Completed
320,769,091897013836,Completed
321,117,143472714152,Completed
322,582,689455720845,Pending
323,271,871918603546,Pending
324,564,914241519851,Pending
325,639,158362769781,Pending
326,972,276354187201,Completed
327,663,758708609504,"Under Review"
328,329,998684124822,Completed
329,702,524362068925,"Under Review"
330,652,690203514171,Completed
331,61,432436102106,Completed
332,250,698099816213,Completed
333,308,743886241335,Pending
334,217,814240927989,Pending
335,649,184233684738,Pending
336,587,687570755560,Completed
337,962,511553849766,Pending
338,814,326103219937,"Under Review"
339,275,180501991022,"Under Review"
340,259,629286444590,Completed
341,378,183706132336,Completed
342,214,033307896851,"Under Review"
343,723,898636488846,"Under Review"
344,102,669180466026,Completed
345,733,693724171404,"Under Review"
346,689,066604162162,"Under Review"
347,588,364843237199,Pending
348,824,873412143624,"Under Review"
349,449,600232230724,Completed
350,701,369435691148,"Under Review"
351,482,522096058966,Completed
352,561,563932890200,Pending
353,268,075167533108,"Under Review"
354,994,994964422304,Completed
355,958,396439802173,Completed
356,987,503449691595,"Under Review"
357,790,686016938912,"Under Review"
358,999,793923184781,Pending
359,562,734623952457,Completed
360,503,684437434725,Completed
361,408,664768802348,Pending
362,803,907360751288,"Under Review"
363,507,904484710575,Pending
364,343,291862176391,"Under Review"
365,615,051622126508,Pending
366,744,372846887910,Pending
367,478,475431677029,Completed
368,509,045187752668,"Under Review"
369,632,689259957128,"Under Review"
370,288,490513339843,Pending
371,867,195556922894,Completed
372,327,512348770712,Completed
373,1,176023910698,Completed
374,949,863303237127,Completed
375,303,051009909783,Pending
376,423,823419355049,Completed
377,497,673805617292,Completed
378,526,484520131229,Completed
379,245,302983276456,"Under Review"
380,406,837850471791,"Under Review"
381,66,201275026545,Pending
382,407,868568133341,"Under Review"
383,559,739309889985,Pending
384,184,177806843143,Pending
385,943,601886890839,Completed
386,722,492036060282,Completed
387,9,305784731691,Pending
388,740,751487102617,Completed
389,953,144963030175,"Under Review"
390,607,167463625730,Completed
391,460,241925986443,"Under Review"
392,82,892220011233,Completed
393,183,675198254913,"Under Review"
394,6,158778905571,"Under Review"
395,624,341413804533,Pending
396,736,778723988602,Pending
397,844,393080854329,"Under Review"
398,541,669927386501,"Under Review"
399,944,490139344156,"Under Review"
400,435,649136514680,"Under Review"
401,662,093433114409,Pending
402,372,903346592772,Completed
403,256,325362774095,Completed
404,708,331859357804,Completed
405,29,976480229999,"Under Review"
406,579,372954351248,"Under Review"
407,363,094811242275,"Under Review"
408,452,154614464210,Pending
409,325,330469190689,Completed
410,569,618344444082,Pending
411,565,116872701924,Pending
412,431,283660883503,Completed
413,634,235836126233,Completed
414,806,373824992016,"Under Review"
415,914,987723676482,"Under Review"
416,951,751685767657,Pending
417,49,191904253645,Pending
418,585,113411648289,"Under Review"
419,295,206825921467,Pending
420,734,855360969352,"Under Review"
421,857,996765958955,"Under Review"
422,211,307401919187,Pending
423,323,889578352199,"Under Review"
424,45,263042230904,"Under Review"
425,239,256137546520,"Under Review"
426,505,934369222561,"Under Review"
427,941,670325122616,Completed
428,153,343477291271,Pending
429,310,408477193740,Completed
430,991,131842889509,Pending
431,181,165063181412,Completed
432,438,259349786938,Completed
433,664,329774568460,Pending
434,631,458497666465,Pending
435,100,659558387933,Pending
436,349,561207471745,Pending
437,447,849220878705,Completed
438,78,926631863914,"Under Review"
439,278,175735291770,Completed
440,26,622789909841,Completed
441,725,692067223588,Pending
442,167,410637244410,Completed
443,424,548436388918,Completed
444,146,737001926066,Completed
445,590,129345085312,Completed
446,765,006060718590,Completed
447,592,856867568921,"Under Review"
448,679,133839278791,"Under Review"
449,465,119389531316,Completed
450,677,331287529070,Pending
451,455,767227084080,Pending
452,367,550139167175,"Under Review"
453,560,386416179019,Completed
454,469,732285296830,"Under Review"
455,539,239369820396,"Under Review"
456,524,232229790340,"Under Review"
457,118,106406831044,Completed
458,202,685406204976,Completed
459,91,948554986456,Completed
460,28,165667089706,Completed
461,717,414328509647,Completed
462,360,017895121329,Completed
463,80,995904294638,Completed
464,845,058970950368,"Under Review"
465,221,107380146001,Completed
466,414,917856944349,"Under Review"
467,188,293881456086,Completed
468,676,360694904177,"Under Review"
469,777,090862212172,Pending
470,159,131389815960,"Under Review"
471,618,220789057958,Pending
472,2,833693160334,Pending
473,547,225063092766,Pending
474,648,403497620349,Completed
475,14,323871626812,Completed
476,520,676515924291,Completed
477,106,665764631941,Completed
478,292,031533113874,Completed
479,195,931632202567,Pending
480,808,668013770292,"Under Review"
481,772,002354652104,Completed
482,863,255512498805,Pending
483,737,374467684895,Completed
484,593,888126520504,Pending
485,681,476986851388,Completed
486,384,341743402558,"Under Review"
487,519,885672662342,"Under Review"
488,907,999103927412,Pending
489,459,177897072329,"Under Review"
490,728,454413451521,Pending
491,816,950358829143,Completed
492,232,457318477654,Pending
493,786,804806085134,"Under Review"
494,304,809788051356,"Under Review"
495,434,737600863125,Pending
496,714,390277619686,Completed
497,706,967040323966,"Under Review"
498,234,954723502148,Pending
499,637,820675436184,"Under Review"
500,74,622001059183,Pending
